birthday,chamber,title,first_name,middle_name,last_name,name_suffix,nickname,party,state,state_name,term_start,term_end,in_office,phone,twitter_id
01/03/1953,senate,Sen,Luther,,Strange,,,R,AL,Alabama,09/02/2017,03/01/2021,TRUE,202-224-4124,SenatorStrange
23/06/1957,house,Rep,Cresent,,Hardy,,,R,NV,Nevada,06/01/2015,03/01/2017,FALSE,202-225-9894,
10/11/1949,house,Rep,Brad,,Ashford,,,D,NE,Nebraska,06/01/2015,03/01/2017,FALSE,202-225-4155,
31/01/1963,house,Rep,Gwen,,Graham,,,D,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-5235,
26/09/1970,house,Rep,Frank,,Guinta,,,R,NH,New Hampshire,06/01/2015,03/01/2017,FALSE,202-225-5456,
23/06/1969,house,Rep,Bob,,Dold,,,R,IL,Illinois,06/01/2015,03/01/2017,FALSE,202-225-4835,
28/09/1959,house,Rep,Curtis,,Clawson,,Curt,R,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-2536,
31/10/1972,house,Rep,David,W.,Jolly,,,R,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-5961,
30/03/1983,house,Rep,Patrick,,Murphy,,,D,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-3026,
24/03/1950,house,Rep,Ann,,Kirkpatrick,,,D,AZ,Arizona,06/01/2015,03/01/2017,FALSE,202-225-3361,
13/03/1958,house,Rep,Alan,,Grayson,,,D,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-9889,
21/01/1958,house,Rep,Matt,,Salmon,,,R,AZ,Arizona,06/01/2015,03/01/2017,FALSE,202-225-2635,
02/04/1950,house,Rep,Lynn,A.,Westmoreland,,,R,GA,Georgia,06/01/2015,03/01/2017,FALSE,202-225-5901,
31/08/1976,house,Rep,Marlin,A.,Stutzman,,,R,IN,Indiana,06/01/2015,03/01/2017,FALSE,202-225-4436,
